No,관리분류군,정이명여부,학명,대표국명,명명자,명명년도,Phylum,,Class,,Order,,Family,,Genus,,SubGenus,,Species,,콘텐츠 여부,URL
,,,,,,,Name,국명,Name,국명,Name,국명,Name,국명,Name,국명,Name,국명,Name,국명,,
1,조류,정명,"Tetrastes bonasia (Linnaeus, 1758)",들꿩,,,Chordata,척삭동물문,Aves,조강,Galliformes,닭목,Phasianidae,꿩과,Tetrastes,들꿩속,,,bonasia,들꿩,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001403
2,조류,정명,"Lyrurus tetrix (Linnaeus, 1758)",멧닭,,,Chordata,척삭동물문,Aves,조강,Galliformes,닭목,Phasianidae,꿩과,Lyrurus,멧닭속,,,tetrix,멧닭,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001405
3,조류,정명,"Coturnix japonica Temminck & Schlegel, 1849",메추라기,Temminck & Schlegel,1849,Chordata,척삭동물문,Aves,조강,Galliformes,닭목,Phasianidae,꿩과,Coturnix,메추라기속,,,japonica,메추라기,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001407
4,조류,정명,"Phasianus colchicus Linnaeus, 1758",꿩,Linnaeus,1758,Chordata,척삭동물문,Aves,조강,Galliformes,닭목,Phasianidae,꿩과,Phasianus,꿩속,,,colchicus,꿩,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001409
5,조류,정명,"Anser cygnoides (Linnaeus, 1758)",개리,,,Chordata,척삭동물문,Aves,조강,Anseriformes,기러기목,Anatidae,오리과,Anser,기러기속,,,cygnoides,개리,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001413
6,조류,정명,"Anser fabalis (Latham, 1787)",큰기러기,,,Chordata,척삭동물문,Aves,조강,Anseriformes,기러기목,Anatidae,오리과,Anser,기러기속,,,fabalis,큰기러기,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001414
7,조류,정명,"Anser anser (Linnaeus, 1758)",회색기러기,,,Chordata,척삭동물문,Aves,조강,Anseriformes,기러기목,Anatidae,오리과,Anser,기러기속,,,anser,회색기러기,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001415
8,조류,정명,"Anser albifrons (Scopoli, 1769)",쇠기러기,,,Chordata,척삭동물문,Aves,조강,Anseriformes,기러기목,Anatidae,오리과,Anser,기러기속,,,albifrons,쇠기러기,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001416
9,조류,정명,"Anser erythropus (Linnaeus, 1758)",흰이마기러기,,,Chordata,척삭동물문,Aves,조강,Anseriformes,기러기목,Anatidae,오리과,Anser,기러기속,,,erythropus,흰이마기러기,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001417
10,조류,정명,"Anser indicus (Latham, 1790)",줄기러기,,,Chordata,척삭동물문,Aves,조강,Anseriformes,기러기목,Anatidae,오리과,Anser,기러기속,,,indicus,줄기러기,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001418
11,조류,정명,"Anser canagicus (Sevastianov, 1802)",흰머리기러기,,,Chordata,척삭동물문,Aves,조강,Anseriformes,기러기목,Anatidae,오리과,Anser,기러기속,,,canagicus,흰머리기러기,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001419
12,조류,정명,"Anser caerulescens (Linnaeus, 1758)",흰기러기,,,Chordata,척삭동물문,Aves,조강,Anseriformes,기러기목,Anatidae,오리과,Anser,기러기속,,,caerulescens,흰기러기,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001420
13,조류,정명,"Branta bernicla (Linnaeus, 1758)",흑기러기,,,Chordata,척삭동물문,Aves,조강,Anseriformes,기러기목,Anatidae,오리과,Branta,흑기러기속,,,bernicla,흑기러기,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001423
14,조류,정명,"Cygnus olor (Gmelin, 1789)",혹고니,,,Chordata,척삭동물문,Aves,조강,Anseriformes,기러기목,Anatidae,오리과,Cygnus,고니속,,,olor,혹고니,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001425
15,조류,정명,"Cygnus columbianus (Ord, 1815)",고니,,,Chordata,척삭동물문,Aves,조강,Anseriformes,기러기목,Anatidae,오리과,Cygnus,고니속,,,columbianus,고니,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001426
